actual\predicted,accumulator_misuse,input_buffer_misuse,integer_division,invalid_index,invalid_program_state,logical_condition,loop_boundary,menu_dispatch,missing_update,relational_operator,sentinel_handling,wrong_identifier_or_argument,wrong_initialization
accumulator_misuse,72,0,0,0,0,0,8,0,0,0,0,0,0
input_buffer_misuse,0,16,0,0,0,0,0,5,16,0,0,11,0
integer_division,0,0,48,0,0,0,0,0,0,0,0,0,0
invalid_index,0,0,0,84,0,0,28,0,0,0,0,0,0
invalid_program_state,0,0,0,0,21,0,0,5,0,0,0,0,22
logical_condition,3,0,0,0,0,26,0,0,0,19,0,0,0
loop_boundary,4,0,0,4,0,12,97,0,0,0,0,0,11
menu_dispatch,0,4,0,0,0,0,0,3,0,0,0,25,0
missing_update,0,0,0,0,0,0,0,0,192,0,0,0,0
relational_operator,0,0,0,0,0,4,0,0,16,92,0,0,0
sentinel_handling,0,0,0,0,0,0,0,0,16,0,0,0,16
wrong_identifier_or_argument,0,0,0,0,0,0,20,14,4,0,0,58,0
wrong_initialization,0,0,0,4,0,0,0,0,12,0,0,0,144
